topic_id,year,rank,word_phi,phi,word_relevance,relevance
3,2003,19,short,0.00449859900773759,recession,8.648894762955393
3,2003,20,big,0.004472892727693375,precision,8.648894762955393
4,2003,1,leather,0.011573857432537825,catwalk,9.669140115935495
4,2003,2,jacket,0.011417875526438933,price,9.535608723310974
4,2003,3,white,0.00876618312275776,fold,9.381458043483715
4,2003,4,body,0.00854780845421931,instinct,9.338898429064919
4,2003,5,skirt,0.008391826548120419,convincing,9.294446666494085
4,2003,6,coat,0.0076119170176259555,interior,9.294446666494085
4,2003,7,high,0.007549524255186398,potential,9.294446666494085
4,2003,8,print,0.0075183278739666196,ness,9.294446666494085
4,2003,9,work,0.006769614724691936,con,9.294446666494085
4,2003,10,shoulder,0.006707221962252379,winner,9.247926650859194
4,2003,11,pant,0.006145687100296365,intention,9.199136486689762
4,2003,12,shirt,0.0049290282327250036,broad,9.147843192302211
4,2003,13,material,0.0045234752768678835,lineup,9.093775971031935
4,2003,14,short,0.0043362969895492124,accordion,9.093775971031935
4,2003,15,fact,0.0042427078458898764,precision,9.093775971031935
4,2003,16,hand,0.003993136796131649,slit,9.036617557191985
4,2003,17,sleeve,0.003837154890032756,sake,9.036617557191985
4,2003,18,silk,0.0036187802214943067,stylist,9.036617557191985
4,2003,19,strong,0.003587583840274528,weave,8.975992935375551
4,2003,20,past,0.003587583840274528,upper,8.975992935375551
5,2003,1,skirt,0.011290602744484974,catwalk,10.693029607121101
5,2003,2,print,0.009611487464535927,painting,9.684029477142676
5,2003,3,jacket,0.007613919286665508,indian,9.424518281657594
5,2003,4,coat,0.005876903479821666,gothic,9.386777953674745
5,2003,5,white,0.005326848474321117,connection,9.347557240521464
5,2003,6,short,0.005124196630189335,human,9.264175631582415
5,2003,7,gown,0.005037345839847143,appropriate,9.264175631582415
5,2003,8,young,0.004632042151583579,male,9.124413689207255
5,2003,9,suit,0.00451624109779399,excess,9.124413689207255
5,2003,10,presentation,0.004429390307451798,passage,9.124413689207255
5,2003,11,lace,0.004371489780557003,object,9.124413689207255
5,2003,12,signature,0.004284638990214811,significant,9.073120394819703
5,2003,13,work,0.004255688726767413,clue,9.073120394819703
5,2003,14,leather,0.0041977881998726185,response,9.073120394819703
5,2003,15,pink,0.004110937409530426,broad,9.019053173549427
